Algorithm, Descending?, n, Runtime (s), SOL, OPT, SOL/OPT
almost_worst_fit, True, 100000, 6.67676, 50011, 49970, 1.00082
almost_worst_fit, False, 100000, 6.339641, 58420, 49883, 1.17114
almost_worst_fit, True, 100000, 6.990595, 50227, 50132, 1.001895
almost_worst_fit, False, 100000, 6.510121, 58447, 49896, 1.171376
almost_worst_fit, True, 100000, 6.999512, 49997, 49932, 1.001302
almost_worst_fit, False, 100000, 6.331396, 58431, 49867, 1.171737
almost_worst_fit, True, 100000, 7.097079, 50108, 50052, 1.001119
almost_worst_fit, False, 100000, 6.506422, 58483, 49949, 1.170854
almost_worst_fit, True, 100000, 6.920615, 50143, 50033, 1.002199
almost_worst_fit, False, 100000, 6.463188, 58609, 50055, 1.170892
almost_worst_fit, True, 100000, 7.382623, 50032, 49944, 1.001762
almost_worst_fit, False, 100000, 6.529916, 58810, 50177, 1.172051
almost_worst_fit, True, 100000, 7.057166, 50171, 50075, 1.001917
almost_worst_fit, False, 100000, 6.572951, 58648, 50099, 1.170642
almost_worst_fit, True, 100000, 7.067527, 50240, 50089, 1.003015
almost_worst_fit, False, 100000, 6.662096, 58644, 50068, 1.171287
almost_worst_fit, True, 100000, 6.889578, 50008, 49954, 1.001081
almost_worst_fit, False, 100000, 6.647845, 58862, 50196, 1.172643
almost_worst_fit, True, 100000, 6.966696, 50012, 49964, 1.000961
almost_worst_fit, False, 100000, 6.535514, 58537, 49994, 1.170881
almost_worst_fit, True, 100000, 7.035093, 50214, 50090, 1.002476
almost_worst_fit, False, 100000, 6.569127, 58563, 49975, 1.171846
almost_worst_fit, True, 100000, 6.871028, 50005, 49961, 1.000881
almost_worst_fit, False, 100000, 6.6002, 58523, 49934, 1.172007
almost_worst_fit, True, 100000, 6.896258, 50138, 50054, 1.001678
almost_worst_fit, False, 100000, 6.45944, 58486, 49947, 1.170961
almost_worst_fit, True, 100000, 6.974357, 49886, 49823, 1.001264
almost_worst_fit, False, 100000, 6.627688, 58585, 49959, 1.172662
almost_worst_fit, True, 100000, 6.893223, 50261, 50073, 1.003755
almost_worst_fit, False, 100000, 6.555526, 58699, 50116, 1.171263
almost_worst_fit, True, 100000, 7.047635, 50022, 49983, 1.00078
almost_worst_fit, False, 100000, 6.711882, 58572, 49991, 1.171651
almost_worst_fit, True, 100000, 7.037169, 49993, 49946, 1.000941
almost_worst_fit, False, 100000, 6.74817, 58752, 50176, 1.170918
almost_worst_fit, True, 100000, 7.021149, 50291, 50157, 1.002672
almost_worst_fit, False, 100000, 6.531833, 58441, 49933, 1.170388
almost_worst_fit, True, 100000, 6.969387, 50119, 50022, 1.001939
almost_worst_fit, False, 100000, 6.529833, 58485, 49929, 1.171363
almost_worst_fit, True, 100000, 7.087042, 50104, 49980, 1.002481
almost_worst_fit, False, 100000, 6.811236, 58695, 50064, 1.172399
almost_worst_fit, True, 100000, 7.050016, 50067, 49967, 1.002001
almost_worst_fit, False, 100000, 6.618734, 58622, 50036, 1.171596
almost_worst_fit, True, 100000, 6.931677, 50157, 50034, 1.002458
almost_worst_fit, False, 100000, 6.652966, 58431, 49908, 1.170774
almost_worst_fit, True, 100000, 7.084544, 49936, 49887, 1.000982
almost_worst_fit, False, 100000, 6.782895, 58447, 49924, 1.170719
almost_worst_fit, True, 100000, 7.018011, 49994, 49956, 1.000761
almost_worst_fit, False, 100000, 6.73382, 58508, 49946, 1.171425
almost_worst_fit, True, 100000, 7.100376, 50333, 50141, 1.003829
almost_worst_fit, False, 100000, 6.706871, 58553, 49976, 1.171622
almost_worst_fit, True, 100000, 7.084134, 50036, 49992, 1.00088
almost_worst_fit, False, 100000, 6.712088, 58721, 50089, 1.172333
almost_worst_fit, True, 100000, 6.927276, 50078, 50014, 1.00128
almost_worst_fit, False, 100000, 6.75048, 58741, 50121, 1.171984
almost_worst_fit, True, 100000, 7.070028, 49933, 49889, 1.000882
almost_worst_fit, False, 100000, 6.453289, 58580, 50021, 1.171108
almost_worst_fit, True, 100000, 6.911442, 50052, 49998, 1.00108
almost_worst_fit, False, 100000, 6.659597, 58689, 50094, 1.171577
almost_worst_fit, True, 100000, 6.922123, 50068, 50007, 1.00122
almost_worst_fit, False, 100000, 6.530582, 58640, 50058, 1.171441
almost_worst_fit, True, 100000, 7.007059, 50078, 49957, 1.002422
almost_worst_fit, False, 100000, 6.610496, 58735, 50116, 1.171981
almost_worst_fit, True, 100000, 7.082709, 50341, 50212, 1.002569
almost_worst_fit, False, 100000, 6.57573, 58532, 49933, 1.172211
almost_worst_fit, True, 100000, 7.083192, 50189, 50038, 1.003018
almost_worst_fit, False, 100000, 6.502039, 58628, 50073, 1.170851
almost_worst_fit, True, 100000, 6.958996, 49978, 49940, 1.000761
almost_worst_fit, False, 100000, 6.843893, 58649, 50034, 1.172183
almost_worst_fit, True, 100000, 7.166971, 50035, 49979, 1.00112
almost_worst_fit, False, 100000, 6.727043, 58731, 50055, 1.173329
almost_worst_fit, True, 100000, 6.94259, 50084, 50017, 1.00134
almost_worst_fit, False, 100000, 6.588986, 58735, 50127, 1.171724
almost_worst_fit, True, 100000, 7.25547, 50133, 50021, 1.002239
almost_worst_fit, False, 100000, 6.867708, 58579, 49944, 1.172894
almost_worst_fit, True, 100000, 7.039652, 50082, 50015, 1.00134
almost_worst_fit, False, 100000, 6.485161, 58600, 50005, 1.171883
almost_worst_fit, True, 100000, 7.002001, 50252, 50117, 1.002694
almost_worst_fit, False, 100000, 6.670843, 58450, 49871, 1.172024
almost_worst_fit, True, 100000, 7.047489, 50046, 49983, 1.00126
almost_worst_fit, False, 100000, 6.630064, 58642, 50026, 1.17223
almost_worst_fit, True, 100000, 6.947512, 49914, 49873, 1.000822
almost_worst_fit, False, 100000, 6.528461, 58483, 49925, 1.171417
almost_worst_fit, True, 100000, 7.003293, 50052, 50005, 1.00094
almost_worst_fit, False, 100000, 6.57769, 58501, 49951, 1.171168
almost_worst_fit, True, 100000, 7.097794, 50353, 50192, 1.003208
almost_worst_fit, False, 100000, 6.672258, 58672, 50031, 1.172713
almost_worst_fit, True, 100000, 7.097776, 49875, 49831, 1.000883
almost_worst_fit, False, 100000, 6.736835, 58728, 50142, 1.171234
almost_worst_fit, True, 100000, 7.028661, 50050, 49993, 1.00114
almost_worst_fit, False, 100000, 6.591186, 58861, 50195, 1.172647
almost_worst_fit, True, 100000, 6.920558, 50177, 50046, 1.002618
almost_worst_fit, False, 100000, 6.654336, 58561, 50018, 1.170799
almost_worst_fit, True, 100000, 7.032239, 50061, 50013, 1.00096
almost_worst_fit, False, 100000, 6.526787, 58546, 49936, 1.172421
almost_worst_fit, True, 100000, 6.929924, 50207, 50104, 1.002056
almost_worst_fit, False, 100000, 6.701, 58456, 49900, 1.171463
almost_worst_fit, True, 100000, 7.057248, 50237, 50127, 1.002194
almost_worst_fit, False, 100000, 6.564273, 58628, 50035, 1.17174
almost_worst_fit, True, 100000, 6.955911, 49991, 49949, 1.000841
almost_worst_fit, False, 100000, 6.684051, 58522, 49978, 1.170955
almost_worst_fit, True, 100000, 7.036014, 49903, 49872, 1.000622
almost_worst_fit, False, 100000, 6.62209, 58249, 49767, 1.170434
almost_worst_fit, True, 100000, 6.97728, 50033, 49957, 1.001521
almost_worst_fit, False, 100000, 6.521753, 58595, 50034, 1.171104
almost_worst_fit, True, 100000, 7.108318, 49861, 49818, 1.000863
almost_worst_fit, False, 100000, 6.920729, 58618, 50099, 1.170043
almost_worst_fit, True, 100000, 7.16182, 49978, 49915, 1.001262
almost_worst_fit, False, 100000, 6.467009, 58354, 49909, 1.169208
almost_worst_fit, True, 100000, 6.958045, 50300, 50112, 1.003752
almost_worst_fit, False, 100000, 6.675866, 58626, 50031, 1.171793
almost_worst_fit, True, 100000, 7.086495, 50002, 49943, 1.001181
almost_worst_fit, False, 100000, 6.697799, 58608, 50047, 1.171059
almost_worst_fit, True, 100000, 6.900464, 49895, 49850, 1.000903
almost_worst_fit, False, 100000, 6.687147, 58663, 50058, 1.171901
almost_worst_fit, True, 100000, 7.402536, 50002, 49927, 1.001502
almost_worst_fit, False, 100000, 6.590021, 58445, 49893, 1.171407
almost_worst_fit, True, 100000, 6.894501, 50214, 50024, 1.003798
almost_worst_fit, False, 100000, 6.772905, 58678, 50070, 1.171919
