Algorithm, Descending?, n, Runtime (s), SOL, OPT, SOL/OPT
Doing PTAS, eps=0.5
ptas_wf, True, 100000, 6.437251, 62826, 50025, 1.255892
ptas_wf, True, 100000, 6.390844, 62600, 50015, 1.251625
ptas_wf, True, 100000, 6.386644, 62551, 49910, 1.253276
ptas_wf, True, 100000, 6.381357, 62753, 50136, 1.251655
ptas_wf, True, 100000, 6.418022, 62815, 50037, 1.255371
ptas_wf, True, 100000, 6.407908, 62638, 49891, 1.255497
ptas_wf, True, 100000, 6.47423, 62766, 50177, 1.250892
ptas_wf, True, 100000, 6.460064, 62608, 50058, 1.250709
ptas_wf, True, 100000, 6.419749, 62535, 49902, 1.253156
ptas_wf, True, 100000, 6.446376, 62587, 50000, 1.25174
ptas_wf, True, 100000, 6.439663, 62665, 50045, 1.252173
ptas_wf, True, 100000, 6.434952, 62711, 50083, 1.252141
ptas_wf, True, 100000, 6.427547, 62789, 50145, 1.252149
ptas_wf, True, 100000, 6.405045, 62714, 50035, 1.253403
ptas_wf, True, 100000, 6.358832, 62782, 50096, 1.253234
ptas_wf, True, 100000, 6.45361, 62460, 49867, 1.252532
ptas_wf, True, 100000, 6.433317, 62672, 50078, 1.251488
ptas_wf, True, 100000, 6.410022, 62721, 50111, 1.251641
ptas_wf, True, 100000, 6.384773, 62526, 50002, 1.25047
ptas_wf, True, 100000, 6.561724, 62663, 50029, 1.252534
ptas_wf, True, 100000, 6.475512, 62535, 49986, 1.25105
ptas_wf, True, 100000, 6.48921, 62755, 50051, 1.253821
ptas_wf, True, 100000, 6.511893, 62552, 49912, 1.253246
ptas_wf, True, 100000, 6.493698, 62720, 50153, 1.250573
ptas_wf, True, 100000, 6.457898, 62622, 50088, 1.25024
ptas_wf, True, 100000, 6.462678, 62702, 50071, 1.252262
ptas_wf, True, 100000, 6.420148, 62597, 49996, 1.25204
ptas_wf, True, 100000, 6.538575, 62396, 49814, 1.25258
ptas_wf, True, 100000, 6.497681, 62451, 49877, 1.2521
ptas_wf, True, 100000, 6.528262, 62710, 50068, 1.252497
ptas_wf, True, 100000, 6.439813, 62639, 50015, 1.252404
ptas_wf, True, 100000, 6.524593, 62627, 49969, 1.253317
ptas_wf, True, 100000, 6.455626, 62577, 50006, 1.25139
ptas_wf, True, 100000, 6.396206, 62540, 49931, 1.252528
ptas_wf, True, 100000, 6.39564, 62705, 50038, 1.253148
ptas_wf, True, 100000, 6.414699, 62599, 50019, 1.251504
ptas_wf, True, 100000, 6.455555, 62740, 50112, 1.251996
ptas_wf, True, 100000, 6.40518, 62639, 49875, 1.25592
ptas_wf, True, 100000, 6.435573, 62697, 50033, 1.253113
ptas_wf, True, 100000, 6.519972, 62838, 50126, 1.253601
ptas_wf, True, 100000, 6.437535, 62644, 50031, 1.252104
ptas_wf, True, 100000, 6.434123, 62676, 50058, 1.252068
ptas_wf, True, 100000, 6.472622, 62415, 49895, 1.250927
ptas_wf, True, 100000, 6.435339, 62297, 49736, 1.252553
ptas_wf, True, 100000, 6.410256, 62414, 49814, 1.252941
ptas_wf, True, 100000, 6.44512, 62729, 49998, 1.25463
ptas_wf, True, 100000, 6.412757, 62671, 50043, 1.252343
ptas_wf, True, 100000, 6.402509, 62727, 50032, 1.253738
ptas_wf, True, 100000, 6.434178, 62530, 49997, 1.250675
ptas_wf, True, 100000, 6.433682, 62544, 49914, 1.253035
ptas_wf, True, 100000, 6.432902, 62669, 50039, 1.252403
ptas_wf, True, 100000, 6.436569, 62548, 49971, 1.251686
ptas_wf, True, 100000, 6.48612, 62575, 50040, 1.2505
ptas_wf, True, 100000, 6.502747, 62768, 50072, 1.253555
ptas_wf, True, 100000, 6.450418, 62665, 50009, 1.253074
ptas_wf, True, 100000, 6.42987, 62615, 50066, 1.250649
ptas_wf, True, 100000, 6.429465, 62628, 50072, 1.250759
ptas_wf, True, 100000, 6.563164, 62692, 50056, 1.252437
ptas_wf, True, 100000, 6.417343, 62501, 49907, 1.252349
ptas_wf, True, 100000, 6.550294, 62491, 49815, 1.254462
ptas_wf, True, 100000, 6.496378, 62668, 49991, 1.253586
ptas_wf, True, 100000, 6.590541, 62487, 49985, 1.250115
ptas_wf, True, 100000, 6.421367, 62502, 49817, 1.254632
ptas_wf, True, 100000, 6.402304, 62587, 49934, 1.253394
Doing PTAS, eps=0.25
ptas_wf, True, 100000, 6.676581, 56693, 50114, 1.131281
ptas_wf, True, 100000, 6.771891, 56387, 50055, 1.126501
ptas_wf, True, 100000, 6.677564, 56269, 49911, 1.127387
ptas_wf, True, 100000, 6.586435, 56416, 50072, 1.126698
ptas_wf, True, 100000, 6.821133, 56422, 50013, 1.128147
ptas_wf, True, 100000, 6.649671, 56441, 50026, 1.128233
ptas_wf, True, 100000, 6.618118, 56401, 50066, 1.126533
ptas_wf, True, 100000, 6.688639, 56372, 49981, 1.127869
ptas_wf, True, 100000, 6.707526, 56573, 50031, 1.130759
ptas_wf, True, 100000, 6.642279, 56418, 49954, 1.129399
ptas_wf, True, 100000, 6.611167, 56483, 50063, 1.128238
ptas_wf, True, 100000, 6.748571, 56488, 50101, 1.127482
ptas_wf, True, 100000, 6.642555, 56288, 49950, 1.126887
ptas_wf, True, 100000, 6.610157, 56401, 50038, 1.127163
ptas_wf, True, 100000, 6.77498, 56575, 50103, 1.129174
ptas_wf, True, 100000, 6.735317, 56330, 49987, 1.126893
ptas_wf, True, 100000, 6.633805, 56365, 50011, 1.127052
ptas_wf, True, 100000, 6.560599, 56301, 49956, 1.127012
ptas_wf, True, 100000, 6.674564, 56390, 49982, 1.128206
ptas_wf, True, 100000, 6.737391, 56489, 50048, 1.128696
ptas_wf, True, 100000, 6.561099, 56247, 49901, 1.127172
ptas_wf, True, 100000, 6.660513, 56116, 49735, 1.1283
ptas_wf, True, 100000, 6.669149, 56542, 50054, 1.12962
ptas_wf, True, 100000, 6.634539, 56449, 49986, 1.129296
ptas_wf, True, 100000, 6.694442, 56454, 50043, 1.12811
ptas_wf, True, 100000, 6.758141, 56302, 49964, 1.126851
ptas_wf, True, 100000, 6.603104, 56489, 50021, 1.129306
ptas_wf, True, 100000, 6.594652, 56389, 50041, 1.126856
ptas_wf, True, 100000, 6.782625, 56249, 49913, 1.126941
ptas_wf, True, 100000, 6.620814, 56415, 50033, 1.127556
ptas_wf, True, 100000, 6.666204, 56343, 49936, 1.128304
ptas_wf, True, 100000, 6.718994, 56306, 49971, 1.126774
ptas_wf, True, 100000, 6.735267, 56383, 50062, 1.126263
ptas_wf, True, 100000, 6.673404, 56258, 49856, 1.12841
ptas_wf, True, 100000, 6.561824, 56413, 50000, 1.12826
ptas_wf, True, 100000, 6.744704, 56380, 50034, 1.126834
ptas_wf, True, 100000, 6.61726, 56305, 50018, 1.125695
ptas_wf, True, 100000, 6.548576, 56387, 50024, 1.127199
ptas_wf, True, 100000, 6.629431, 56620, 50119, 1.129711
ptas_wf, True, 100000, 6.695959, 56335, 49936, 1.128144
ptas_wf, True, 100000, 6.656685, 56348, 50009, 1.126757
ptas_wf, True, 100000, 6.608719, 56455, 50065, 1.127634
ptas_wf, True, 100000, 6.75976, 56449, 50054, 1.127762
ptas_wf, True, 100000, 6.70936, 56352, 49901, 1.129276
ptas_wf, True, 100000, 6.716111, 56422, 50094, 1.126323
ptas_wf, True, 100000, 6.675036, 56173, 49834, 1.127202
ptas_wf, True, 100000, 6.672111, 56301, 49941, 1.12735
ptas_wf, True, 100000, 6.720214, 56286, 50004, 1.12563
ptas_wf, True, 100000, 6.917258, 56301, 49993, 1.126178
ptas_wf, True, 100000, 7.117093, 56451, 49998, 1.129065
ptas_wf, True, 100000, 7.359737, 56275, 49878, 1.128253
ptas_wf, True, 100000, 7.277806, 56320, 49943, 1.127686
ptas_wf, True, 100000, 7.437671, 56543, 50082, 1.129008
ptas_wf, True, 100000, 7.002621, 56441, 50030, 1.128143
ptas_wf, True, 100000, 6.654552, 56259, 49882, 1.127842
ptas_wf, True, 100000, 6.674227, 56412, 49915, 1.130161
ptas_wf, True, 100000, 6.686005, 56538, 50071, 1.129157
ptas_wf, True, 100000, 6.641618, 56521, 50033, 1.129674
ptas_wf, True, 100000, 6.620862, 56389, 49964, 1.128593
ptas_wf, True, 100000, 6.730239, 56222, 49805, 1.128842
ptas_wf, True, 100000, 6.663411, 56434, 49998, 1.128725
ptas_wf, True, 100000, 6.563669, 56553, 50117, 1.128419
ptas_wf, True, 100000, 6.652935, 56494, 49901, 1.132122
ptas_wf, True, 100000, 6.726191, 56362, 49891, 1.129703
Doing PTAS, eps=0.1
ptas_wf, True, 100000, 6.74001, 52488, 49950, 1.050811
ptas_wf, True, 100000, 6.742595, 52695, 50086, 1.05209
ptas_wf, True, 100000, 6.76038, 52512, 49898, 1.052387
ptas_wf, True, 100000, 6.83405, 52722, 50080, 1.052756
ptas_wf, True, 100000, 6.816092, 52665, 50054, 1.052164
ptas_wf, True, 100000, 6.847415, 52439, 49894, 1.051008
