Algorithm, Descending?, n, Runtime (s), SOL, OPT, SOL/OPT
next_fit, False, 100000, 0.187098, 66908, 50191, 1.333068
almost_worst_fit, False, 100000, 6.286349, 58863, 50191, 1.17278
next_fit, True, 100000, 0.332464, 64770, 50191, 1.29047
almost_worst_fit, True, 100000, 6.711441, 50369, 50191, 1.003546
best_fit, True, 100000, 7.451593, 50368, 50191, 1.003527
next_fit, False, 100000, 0.268602, 66792, 50071, 1.333946
almost_worst_fit, False, 100000, 6.235111, 58660, 50071, 1.171536
next_fit, True, 100000, 0.335843, 64579, 50071, 1.289749
almost_worst_fit, True, 100000, 6.71076, 50161, 50071, 1.001797
best_fit, True, 100000, 7.377911, 50161, 50071, 1.001797
next_fit, False, 100000, 0.253115, 66776, 50099, 1.332881
almost_worst_fit, False, 100000, 6.343922, 58792, 50099, 1.173516
next_fit, True, 100000, 0.362791, 64626, 50099, 1.289966
almost_worst_fit, True, 100000, 6.778221, 50233, 50099, 1.002675
best_fit, True, 100000, 7.424353, 50232, 50099, 1.002655
next_fit, False, 100000, 0.244987, 66758, 50049, 1.333853
almost_worst_fit, False, 100000, 6.400985, 58685, 50049, 1.172551
next_fit, True, 100000, 0.357542, 64559, 50049, 1.289916
almost_worst_fit, True, 100000, 6.753081, 50171, 50049, 1.002438
best_fit, True, 100000, 7.470958, 50171, 50049, 1.002438
next_fit, False, 100000, 0.256017, 66687, 49987, 1.334087
almost_worst_fit, False, 100000, 6.169236, 58504, 49987, 1.170384
next_fit, True, 100000, 0.363633, 64500, 49987, 1.290335
almost_worst_fit, True, 100000, 6.674676, 50043, 49987, 1.00112
best_fit, True, 100000, 7.372792, 50033, 49987, 1.00092
next_fit, False, 100000, 0.245822, 66749, 50070, 1.333114
almost_worst_fit, False, 100000, 6.485557, 58671, 50070, 1.17178
next_fit, True, 100000, 0.353098, 64573, 50070, 1.289654
almost_worst_fit, True, 100000, 6.778612, 50135, 50070, 1.001298
best_fit, True, 100000, 7.505544, 50134, 50070, 1.001278
next_fit, False, 100000, 0.274654, 66654, 50007, 1.332893
almost_worst_fit, False, 100000, 6.373597, 58534, 50007, 1.170516
next_fit, True, 100000, 0.352223, 64441, 50007, 1.28864
almost_worst_fit, True, 100000, 6.825733, 50106, 50007, 1.00198
best_fit, True, 100000, 7.455143, 50106, 50007, 1.00198
next_fit, False, 100000, 0.270953, 66843, 50109, 1.333952
almost_worst_fit, False, 100000, 6.428396, 58740, 50109, 1.172245
next_fit, True, 100000, 0.357682, 64640, 50109, 1.289988
almost_worst_fit, True, 100000, 6.754508, 50281, 50109, 1.003433
best_fit, True, 100000, 7.448254, 50280, 50109, 1.003413
next_fit, False, 100000, 0.263384, 66550, 49906, 1.333507
almost_worst_fit, False, 100000, 6.324009, 58429, 49906, 1.170781
next_fit, True, 100000, 0.342163, 64391, 49906, 1.290246
almost_worst_fit, True, 100000, 6.768921, 49975, 49906, 1.001383
best_fit, True, 100000, 7.550013, 49965, 49906, 1.001182
next_fit, False, 100000, 0.314373, 66915, 50139, 1.33459
almost_worst_fit, False, 100000, 6.357972, 58727, 50139, 1.171284
next_fit, True, 100000, 0.332131, 64652, 50139, 1.289455
almost_worst_fit, True, 100000, 6.788854, 50236, 50139, 1.001935
