Algorithm, Descending?, n, Runtime (s), SOL, OPT, SOL/OPT
ptas_ff, True, 100000, 6.857274, 50400, 50061, 1.006772
ptas_ff, True, 100000, 6.889531, 50563, 50140, 1.008436
ptas_ff, True, 100000, 6.938835, 50453, 50069, 1.007669
ptas_ff, True, 100000, 7.033995, 50598, 50127, 1.009396
ptas_ff, True, 100000, 7.10398, 50628, 50219, 1.008144
ptas_ff, True, 100000, 7.089123, 50467, 50097, 1.007386
ptas_ff, True, 100000, 7.113162, 50539, 50052, 1.00973
ptas_ff, True, 100000, 7.111773, 50592, 50236, 1.007087
