Algorithm, Descending?, n, Runtime (s), SOL, OPT, SOL/OPT
ptas_ff, True, 100, 0.003768, 49, 47, 1.042553
ptas_ff, True, 100, 0.003008, 54, 52, 1.038462
ptas_ff, True, 100, 0.003029, 54, 51, 1.058824
ptas_ff, True, 100, 0.00305, 55, 52, 1.057692
ptas_ff, True, 100, 0.002971, 51, 49, 1.040816
ptas_ff, True, 100, 0.003054, 53, 51, 1.039216
ptas_ff, True, 100, 0.002835, 55, 52, 1.057692
ptas_ff, True, 100, 0.002938, 54, 49, 1.102041
ptas_ff, True, 100, 0.003008, 48, 46, 1.043478
ptas_ff, True, 100, 0.002806, 49, 47, 1.042553
ptas_ff, True, 100, 0.007151, 49, 47, 1.042553
ptas_ff, True, 100, 0.007722, 55, 51, 1.078431
ptas_ff, True, 100, 0.009122, 53, 51, 1.039216
ptas_ff, True, 100, 0.007348, 59, 55, 1.072727
ptas_ff, True, 100, 0.007761, 52, 49, 1.061224
ptas_ff, True, 100, 0.007597, 53, 50, 1.06
ptas_ff, True, 100, 0.00755, 51, 49, 1.040816
ptas_ff, True, 100, 0.010365, 62, 55, 1.127273
ptas_ff, True, 100, 0.016124, 56, 52, 1.076923
ptas_ff, True, 100, 0.015741, 55, 51, 1.078431
ptas_ff, True, 100, 0.009925, 49, 46, 1.065217
ptas_ff, True, 100, 0.008754, 57, 53, 1.075472
ptas_ff, True, 100, 0.00546, 49, 48, 1.020833
ptas_ff, True, 100, 0.005162, 51, 49, 1.040816
ptas_ff, True, 100, 0.004951, 53, 51, 1.039216
ptas_ff, True, 100, 0.003394, 59, 54, 1.092593
ptas_ff, True, 100, 0.003136, 53, 51, 1.039216
ptas_ff, True, 100, 0.002942, 54, 52, 1.038462
ptas_ff, True, 100, 0.002992, 43, 43, 1.0
ptas_ff, True, 100, 0.003103, 55, 53, 1.037736
ptas_ff, True, 100, 0.002881, 57, 53, 1.075472
ptas_ff, True, 100, 0.002928, 54, 52, 1.038462
ptas_ff, True, 100, 0.003019, 60, 54, 1.111111
ptas_ff, True, 100, 0.003075, 58, 53, 1.09434
ptas_ff, True, 100, 0.003068, 49, 48, 1.020833
