Algorithm, Descending?, n, Runtime (s), SOL, OPT, SOL/OPT
ptas_ff, True, 100, 0.003245, 55, 52, 1.057692
ptas_ff, True, 100, 0.003004, 59, 55, 1.072727
ptas_ff, True, 100, 0.003242, 62, 56, 1.107143
ptas_ff, True, 100, 0.002987, 58, 55, 1.054545
ptas_ff, True, 100, 0.003122, 58, 53, 1.09434
ptas_ff, True, 100, 0.003091, 53, 51, 1.039216
ptas_ff, True, 100, 0.002998, 53, 50, 1.06
ptas_ff, True, 100, 0.002903, 54, 51, 1.058824
ptas_ff, True, 100, 0.002999, 59, 52, 1.134615
ptas_ff, True, 100, 0.002886, 50, 49, 1.020408
ptas_ff, True, 100, 0.002812, 50, 48, 1.041667
ptas_ff, True, 100, 0.003006, 53, 51, 1.039216
ptas_ff, True, 100, 0.003005, 53, 50, 1.06
ptas_ff, True, 100, 0.003047, 53, 51, 1.039216
ptas_ff, True, 100, 0.002976, 61, 56, 1.089286
ptas_ff, True, 100, 0.002985, 57, 51, 1.117647
ptas_ff, True, 100, 0.002988, 53, 50, 1.06
ptas_ff, True, 100, 0.002989, 51, 49, 1.040816
ptas_ff, True, 100, 0.002928, 54, 51, 1.058824
ptas_ff, True, 100, 0.002752, 58, 54, 1.074074
ptas_ff, True, 100, 0.002987, 59, 52, 1.134615
ptas_ff, True, 100, 0.003169, 52, 50, 1.04
ptas_ff, True, 100, 0.003486, 54, 52, 1.038462
ptas_ff, True, 100, 0.003042, 50, 49, 1.020408
ptas_ff, True, 100, 0.002852, 51, 48, 1.0625
ptas_ff, True, 100, 0.003465, 50, 47, 1.06383
ptas_ff, True, 100, 0.002958, 55, 51, 1.078431
ptas_ff, True, 100, 0.002973, 56, 54, 1.037037
ptas_ff, True, 100, 0.003105, 53, 49, 1.081633
ptas_ff, True, 100, 0.002864, 48, 47, 1.021277
ptas_ff, True, 100, 0.003101, 49, 48, 1.020833
ptas_ff, True, 100, 0.002913, 49, 47, 1.042553
ptas_ff, True, 100, 0.003123, 53, 49, 1.081633
ptas_ff, True, 100, 0.002829, 59, 55, 1.072727
ptas_ff, True, 100, 0.00292, 55, 52, 1.057692
ptas_ff, True, 100, 0.003078, 52, 50, 1.04
ptas_ff, True, 100, 0.003122, 55, 52, 1.057692
ptas_ff, True, 100, 0.002958, 55, 51, 1.078431
ptas_ff, True, 100, 0.002994, 61, 56, 1.089286
ptas_ff, True, 100, 0.002965, 56, 53, 1.056604
