Algorithm, Descending?, n, Runtime (s), SOL, OPT, SOL/OPT
Doing PTAS, eps=0.5
ptas_awf, True, 100000, 6.189924, 62661, 49984, 1.253621
ptas_awf, True, 100000, 6.196258, 62638, 49912, 1.254969
ptas_awf, True, 100000, 6.203693, 62557, 49954, 1.252292
ptas_awf, True, 100000, 6.217434, 62633, 50081, 1.250634
ptas_awf, True, 100000, 6.210297, 62554, 50000, 1.25108
ptas_awf, True, 100000, 6.142555, 62679, 50076, 1.251677
ptas_awf, True, 100000, 6.192367, 62715, 50025, 1.253673
ptas_awf, True, 100000, 6.234152, 62612, 49993, 1.252415
ptas_awf, True, 100000, 6.180437, 62622, 49992, 1.25264
ptas_awf, True, 100000, 6.15134, 62581, 49884, 1.254531
ptas_awf, True, 100000, 6.175638, 62638, 49948, 1.254064
ptas_awf, True, 100000, 6.164672, 62531, 49881, 1.253604
ptas_awf, True, 100000, 6.171123, 62569, 49978, 1.251931
ptas_awf, True, 100000, 6.127461, 62589, 50020, 1.251279
ptas_awf, True, 100000, 6.180025, 62557, 49920, 1.253145
ptas_awf, True, 100000, 6.195522, 62548, 50016, 1.25056
ptas_awf, True, 100000, 6.224324, 62705, 50005, 1.253975
ptas_awf, True, 100000, 6.157158, 62670, 49969, 1.254178
ptas_awf, True, 100000, 6.190557, 62418, 49779, 1.253902
ptas_awf, True, 100000, 6.184579, 62474, 49893, 1.25216
ptas_awf, True, 100000, 6.137457, 62485, 49876, 1.252807
ptas_awf, True, 100000, 6.14371, 62708, 49959, 1.255189
ptas_awf, True, 100000, 6.174548, 62688, 50105, 1.251133
ptas_awf, True, 100000, 6.182911, 62778, 50050, 1.254306
ptas_awf, True, 100000, 6.172117, 62643, 49975, 1.253487
ptas_awf, True, 100000, 6.181564, 62706, 50062, 1.252567
ptas_awf, True, 100000, 6.208101, 62746, 50123, 1.25184
ptas_awf, True, 100000, 6.196241, 62995, 50188, 1.255181
ptas_awf, True, 100000, 6.220216, 62906, 50105, 1.255483
ptas_awf, True, 100000, 6.190167, 62763, 50129, 1.25203
ptas_awf, True, 100000, 6.167427, 62602, 50008, 1.25184
ptas_awf, True, 100000, 6.199492, 62579, 49946, 1.252933
ptas_awf, True, 100000, 6.182075, 62814, 50131, 1.252997
ptas_awf, True, 100000, 6.176559, 62848, 50204, 1.251852
ptas_awf, True, 100000, 6.173105, 62717, 50136, 1.250937
ptas_awf, True, 100000, 6.143153, 62469, 49891, 1.25211
ptas_awf, True, 100000, 6.161075, 62661, 49938, 1.254776
ptas_awf, True, 100000, 6.163463, 62491, 49900, 1.252325
ptas_awf, True, 100000, 6.151519, 62663, 50080, 1.251258
ptas_awf, True, 100000, 6.175409, 62708, 50017, 1.253734
ptas_awf, True, 100000, 6.162622, 62485, 49959, 1.250726
ptas_awf, True, 100000, 6.139587, 62712, 50075, 1.252361
ptas_awf, True, 100000, 6.202643, 62716, 50022, 1.253768
ptas_awf, True, 100000, 6.199509, 62619, 49974, 1.253032
ptas_awf, True, 100000, 6.194153, 62833, 50093, 1.254327
ptas_awf, True, 100000, 6.181657, 62643, 49966, 1.253713
ptas_awf, True, 100000, 6.133181, 62748, 50093, 1.25263
ptas_awf, True, 100000, 6.148886, 62634, 50064, 1.251079
ptas_awf, True, 100000, 6.179699, 62870, 49912, 1.259617
ptas_awf, True, 100000, 6.152061, 62768, 50082, 1.253305
ptas_awf, True, 100000, 6.148443, 62573, 50019, 1.250985
ptas_awf, True, 100000, 6.162824, 62608, 49987, 1.252486
ptas_awf, True, 100000, 6.213808, 62680, 49975, 1.254227
ptas_awf, True, 100000, 6.196656, 62648, 49959, 1.253988
ptas_awf, True, 100000, 6.16844, 62500, 49917, 1.252078
ptas_awf, True, 100000, 6.166762, 62563, 49903, 1.253692
ptas_awf, True, 100000, 6.190848, 62425, 49826, 1.25286
ptas_awf, True, 100000, 6.190472, 62694, 50047, 1.252702
ptas_awf, True, 100000, 6.180236, 62563, 49927, 1.25309
ptas_awf, True, 100000, 6.182019, 62554, 49899, 1.253612
ptas_awf, True, 100000, 6.217644, 62708, 50113, 1.251332
ptas_awf, True, 100000, 6.177802, 62706, 50020, 1.253619
ptas_awf, True, 100000, 6.174942, 62882, 50123, 1.254554
ptas_awf, True, 100000, 6.271843, 62649, 50081, 1.250953
Doing PTAS, eps=0.25
ptas_awf, True, 100000, 6.358192, 56462, 50076, 1.127526
ptas_awf, True, 100000, 6.540257, 56530, 50131, 1.127646
ptas_awf, True, 100000, 6.423881, 56328, 49966, 1.127327
ptas_awf, True, 100000, 6.420283, 56472, 50118, 1.126781
ptas_awf, True, 100000, 6.478202, 56315, 49940, 1.127653
ptas_awf, True, 100000, 6.469629, 56319, 50017, 1.125997
ptas_awf, True, 100000, 6.385121, 56452, 50014, 1.128724
ptas_awf, True, 100000, 6.360401, 56781, 50212, 1.130825
ptas_awf, True, 100000, 6.493936, 56486, 50069, 1.128163
ptas_awf, True, 100000, 6.405446, 56559, 50117, 1.128539
ptas_awf, True, 100000, 6.353811, 56263, 49966, 1.126026
ptas_awf, True, 100000, 6.420946, 56363, 50023, 1.126742
ptas_awf, True, 100000, 6.429993, 56285, 50000, 1.1257
ptas_awf, True, 100000, 6.410719, 56566, 50073, 1.129671
ptas_awf, True, 100000, 6.300322, 56299, 49934, 1.127468
ptas_awf, True, 100000, 6.514886, 56488, 50061, 1.128383
ptas_awf, True, 100000, 6.421401, 56407, 50047, 1.127081
ptas_awf, True, 100000, 6.363151, 56571, 50155, 1.127923
ptas_awf, True, 100000, 6.494841, 56261, 49918, 1.127068
ptas_awf, True, 100000, 6.378119, 56198, 49852, 1.127297
ptas_awf, True, 100000, 6.399451, 56336, 49970, 1.127396
ptas_awf, True, 100000, 6.322293, 56820, 50262, 1.130476
ptas_awf, True, 100000, 6.452661, 56360, 50046, 1.126164
ptas_awf, True, 100000, 6.366686, 56591, 50048, 1.130734
ptas_awf, True, 100000, 6.396258, 56661, 50113, 1.130665
ptas_awf, True, 100000, 6.499527, 56476, 49983, 1.129904
ptas_awf, True, 100000, 6.403352, 56361, 50007, 1.127062
ptas_awf, True, 100000, 6.376896, 56519, 50139, 1.127246
ptas_awf, True, 100000, 6.398057, 56130, 49873, 1.125459
ptas_awf, True, 100000, 6.453946, 56348, 50014, 1.126645
ptas_awf, True, 100000, 6.3961, 56370, 49974, 1.127987
ptas_awf, True, 100000, 6.354465, 56207, 49866, 1.127161
ptas_awf, True, 100000, 6.464246, 56388, 49872, 1.130654
ptas_awf, True, 100000, 6.39348, 56195, 49898, 1.126197
