Algorithm, Descending?, n, Runtime (s), SOL, OPT, SOL/OPT
ptas_ff, True, 100, 0.003075, 57, 52, 1.096154
ptas_ff, True, 100, 0.002941, 56, 54, 1.037037
ptas_ff, True, 100, 0.002899, 59, 56, 1.053571
ptas_ff, True, 100, 0.002848, 57, 53, 1.075472
ptas_ff, True, 100, 0.002866, 55, 52, 1.057692
ptas_ff, True, 100, 0.002855, 50, 48, 1.041667
ptas_ff, True, 100, 0.006181, 56, 53, 1.056604
ptas_ff, True, 100, 0.008497, 52, 50, 1.04
ptas_ff, True, 100, 0.005145, 59, 56, 1.053571
ptas_ff, True, 100, 0.00508, 50, 48, 1.041667
ptas_ff, True, 100, 0.005163, 58, 54, 1.074074
ptas_ff, True, 100, 0.005076, 48, 45, 1.066667
ptas_ff, True, 100, 0.004951, 62, 57, 1.087719
ptas_ff, True, 100, 0.005123, 51, 48, 1.0625
ptas_ff, True, 100, 0.005132, 54, 49, 1.102041
ptas_ff, True, 100, 0.005327, 47, 46, 1.021739
ptas_ff, True, 100, 0.00516, 53, 49, 1.081633
ptas_ff, True, 100, 0.005427, 54, 52, 1.038462
ptas_ff, True, 100, 0.005246, 48, 45, 1.066667
ptas_ff, True, 100, 0.003046, 55, 52, 1.057692
ptas_ff, True, 100, 0.002985, 54, 53, 1.018868
ptas_ff, True, 100, 0.002813, 52, 49, 1.061224
ptas_ff, True, 100, 0.003196, 47, 45, 1.044444
ptas_ff, True, 100, 0.002974, 47, 46, 1.021739
ptas_ff, True, 100, 0.003033, 48, 47, 1.021277
ptas_ff, True, 100, 0.003202, 48, 46, 1.043478
ptas_ff, True, 100, 0.003566, 53, 51, 1.039216
ptas_ff, True, 100, 0.002839, 66, 60, 1.1
ptas_ff, True, 100, 0.002787, 50, 47, 1.06383
ptas_ff, True, 100, 0.003084, 60, 55, 1.090909
ptas_ff, True, 100, 0.002681, 48, 46, 1.043478
ptas_ff, True, 100, 0.002956, 52, 50, 1.04
ptas_ff, True, 100, 0.00291, 51, 49, 1.040816
ptas_ff, True, 100, 0.002922, 49, 48, 1.020833
ptas_ff, True, 100, 0.003011, 59, 54, 1.092593
ptas_ff, True, 100, 0.003079, 56, 51, 1.098039
ptas_ff, True, 100, 0.003144, 52, 50, 1.04
ptas_ff, True, 100, 0.002876, 62, 54, 1.148148
ptas_ff, True, 100, 0.00303, 51, 49, 1.040816
ptas_ff, True, 100, 0.002845, 60, 55, 1.090909
ptas_ff, True, 100, 0.0029, 48, 46, 1.043478
ptas_ff, True, 100, 0.003217, 52, 49, 1.061224
ptas_ff, True, 100, 0.002859, 48, 47, 1.021277
ptas_ff, True, 100, 0.003063, 59, 55, 1.072727
ptas_ff, True, 100, 0.003068, 55, 51, 1.078431
ptas_ff, True, 100, 0.00316, 50, 49, 1.020408
ptas_ff, True, 100, 0.002891, 53, 51, 1.039216
ptas_ff, True, 100, 0.002992, 52, 50, 1.04
ptas_ff, True, 100, 0.002834, 50, 49, 1.020408
ptas_ff, True, 100, 0.002924, 60, 53, 1.132075
ptas_ff, True, 100, 0.003041, 54, 51, 1.058824
ptas_ff, True, 100, 0.003051, 57, 53, 1.075472
ptas_ff, True, 100, 0.00285, 46, 44, 1.045455
ptas_ff, True, 100, 0.00303, 60, 55, 1.090909
ptas_ff, True, 100, 0.002894, 54, 49, 1.102041
ptas_ff, True, 100, 0.002924, 61, 53, 1.150943
