Algorithm, Descending?, n, Runtime (s), SOL, OPT, SOL/OPT
ptas_ff, True, 100, 0.003712, 53, 50, 1.06
ptas_ff, True, 100, 0.002904, 48, 47, 1.021277
ptas_ff, True, 100, 0.002866, 57, 53, 1.075472
ptas_ff, True, 100, 0.003082, 55, 52, 1.057692
ptas_ff, True, 100, 0.003018, 49, 48, 1.020833
ptas_ff, True, 100, 0.002954, 47, 46, 1.021739
ptas_ff, True, 100, 0.003047, 56, 53, 1.056604
ptas_ff, True, 100, 0.003068, 55, 53, 1.037736
ptas_ff, True, 100, 0.003164, 51, 48, 1.0625
ptas_ff, True, 100, 0.004194, 51, 49, 1.040816
ptas_ff, True, 100, 0.002909, 57, 54, 1.055556
ptas_ff, True, 100, 0.003044, 52, 49, 1.061224
ptas_ff, True, 100, 0.002884, 55, 50, 1.1
ptas_ff, True, 100, 0.003036, 56, 53, 1.056604
ptas_ff, True, 100, 0.002966, 50, 48, 1.041667
ptas_ff, True, 100, 0.003075, 48, 46, 1.043478
ptas_ff, True, 100, 0.003032, 57, 54, 1.055556
ptas_ff, True, 100, 0.003012, 64, 56, 1.142857
ptas_ff, True, 100, 0.002806, 48, 45, 1.066667
ptas_ff, True, 100, 0.003037, 50, 48, 1.041667
ptas_ff, True, 100, 0.002993, 52, 49, 1.061224
ptas_ff, True, 100, 0.002935, 53, 49, 1.081633
ptas_ff, True, 100, 0.003042, 56, 54, 1.037037
ptas_ff, True, 100, 0.00857, 57, 53, 1.075472
ptas_ff, True, 100, 0.008363, 58, 53, 1.09434
ptas_ff, True, 100, 0.00555, 50, 49, 1.020408
ptas_ff, True, 100, 0.005023, 53, 52, 1.019231
ptas_ff, True, 100, 0.004448, 48, 47, 1.021277
ptas_ff, True, 100, 0.00292, 49, 47, 1.042553
ptas_ff, True, 100, 0.0029, 52, 48, 1.083333
ptas_ff, True, 100, 0.002748, 49, 48, 1.020833
ptas_ff, True, 100, 0.002959, 57, 54, 1.055556
ptas_ff, True, 100, 0.003019, 53, 52, 1.019231
ptas_ff, True, 100, 0.003109, 55, 53, 1.037736
ptas_ff, True, 100, 0.002727, 48, 46, 1.043478
ptas_ff, True, 100, 0.002866, 54, 51, 1.058824
ptas_ff, True, 100, 0.00304, 49, 48, 1.020833
ptas_ff, True, 100, 0.002899, 55, 52, 1.057692
ptas_ff, True, 100, 0.003025, 55, 51, 1.078431
ptas_ff, True, 100, 0.00304, 51, 49, 1.040816
ptas_ff, True, 100, 0.003054, 56, 53, 1.056604
ptas_ff, True, 100, 0.002793, 52, 50, 1.04
ptas_ff, True, 100, 0.002976, 53, 50, 1.06
ptas_ff, True, 100, 0.002904, 48, 46, 1.043478
ptas_ff, True, 100, 0.003027, 54, 50, 1.08
ptas_ff, True, 100, 0.006065, 52, 49, 1.061224
ptas_ff, True, 100, 0.006107, 49, 47, 1.042553
ptas_ff, True, 100, 0.006375, 56, 52, 1.076923
ptas_ff, True, 100, 0.006064, 57, 53, 1.075472
ptas_ff, True, 100, 0.00601, 58, 54, 1.074074
ptas_ff, True, 100, 0.006557, 50, 49, 1.020408
ptas_ff, True, 100, 0.00633, 48, 47, 1.021277
ptas_ff, True, 100, 0.003398, 60, 56, 1.071429
ptas_ff, True, 100, 0.003693, 56, 52, 1.076923
ptas_ff, True, 100, 0.003606, 57, 54, 1.055556
ptas_ff, True, 100, 0.003625, 56, 53, 1.056604
ptas_ff, True, 100, 0.003445, 55, 52, 1.057692
ptas_ff, True, 100, 0.003684, 54, 51, 1.058824
ptas_ff, True, 100, 0.00327, 63, 58, 1.086207
ptas_ff, True, 100, 0.003313, 44, 42, 1.047619
ptas_ff, True, 100, 0.003285, 47, 46, 1.021739
ptas_ff, True, 100, 0.003598, 55, 51, 1.078431
ptas_ff, True, 100, 0.003397, 48, 47, 1.021277
ptas_ff, True, 100, 0.003623, 51, 49, 1.040816
ptas_ff, True, 100, 0.003527, 55, 51, 1.078431
ptas_ff, True, 100, 0.003393, 51, 49, 1.040816
ptas_ff, True, 100, 0.003489, 56, 53, 1.056604
ptas_ff, True, 100, 0.003585, 54, 51, 1.058824
ptas_ff, True, 100, 0.003768, 50, 47, 1.06383
ptas_ff, True, 100, 0.003312, 46, 45, 1.022222
ptas_ff, True, 100, 0.003582, 54, 50, 1.08
ptas_ff, True, 100, 0.003434, 54, 49, 1.102041
ptas_ff, True, 100, 0.003456, 51, 49, 1.040816
ptas_ff, True, 100, 0.003443, 56, 52, 1.076923
ptas_ff, True, 100, 0.00333, 54, 50, 1.08
ptas_ff, True, 100, 0.003613, 56, 51, 1.098039
ptas_ff, True, 100, 0.003651, 56, 52, 1.076923
ptas_ff, True, 100, 0.003464, 54, 52, 1.038462
ptas_ff, True, 100, 0.003498, 59, 55, 1.072727
ptas_ff, True, 100, 0.003484, 54, 52, 1.038462
ptas_ff, True, 100, 0.003417, 57, 53, 1.075472
ptas_ff, True, 100, 0.003613, 53, 51, 1.039216
ptas_ff, True, 100, 0.003588, 61, 55, 1.109091
ptas_ff, True, 100, 0.003341, 58, 52, 1.115385
ptas_ff, True, 100, 0.00362, 57, 53, 1.075472
ptas_ff, True, 100, 0.003363, 46, 45, 1.022222
ptas_ff, True, 100, 0.003022, 51, 48, 1.0625
ptas_ff, True, 100, 0.002889, 51, 49, 1.040816
ptas_ff, True, 100, 0.002969, 57, 53, 1.075472
ptas_ff, True, 100, 0.003016, 49, 47, 1.042553
ptas_ff, True, 100, 0.002958, 57, 52, 1.096154
ptas_ff, True, 100, 0.003036, 57, 55, 1.036364
ptas_ff, True, 100, 0.002983, 58, 55, 1.054545
ptas_ff, True, 100, 0.005221, 53, 51, 1.039216
ptas_ff, True, 100, 0.002836, 52, 49, 1.061224
ptas_ff, True, 100, 0.002976, 55, 53, 1.037736
ptas_ff, True, 100, 0.003171, 53, 50, 1.06
ptas_ff, True, 100, 0.002957, 55, 52, 1.057692
ptas_ff, True, 100, 0.003089, 57, 51, 1.117647
ptas_ff, True, 100, 0.002935, 55, 51, 1.078431
ptas_ff, True, 100, 0.00318, 54, 51, 1.058824
ptas_ff, True, 100, 0.002965, 51, 49, 1.040816
ptas_ff, True, 100, 0.002814, 49, 48, 1.020833
ptas_ff, True, 100, 0.002916, 50, 48, 1.041667
ptas_ff, True, 100, 0.002979, 55, 52, 1.057692
ptas_ff, True, 100, 0.003029, 51, 50, 1.02
ptas_ff, True, 100, 0.002972, 54, 52, 1.038462
ptas_ff, True, 100, 0.003265, 58, 54, 1.074074
ptas_ff, True, 100, 0.002968, 49, 48, 1.020833
ptas_ff, True, 100, 0.003327, 51, 49, 1.040816
ptas_ff, True, 100, 0.003325, 50, 49, 1.020408
ptas_ff, True, 100, 0.002613, 51, 48, 1.0625
ptas_ff, True, 100, 0.00294, 52, 49, 1.061224
ptas_ff, True, 100, 0.003078, 57, 53, 1.075472
ptas_ff, True, 100, 0.003049, 52, 50, 1.04
ptas_ff, True, 100, 0.002787, 49, 46, 1.065217
ptas_ff, True, 100, 0.003118, 53, 50, 1.06
ptas_ff, True, 100, 0.003196, 53, 51, 1.039216
ptas_ff, True, 100, 0.003028, 48, 47, 1.021277
ptas_ff, True, 100, 0.007194, 47, 46, 1.021739
ptas_ff, True, 100, 0.007223, 51, 49, 1.040816
ptas_ff, True, 100, 0.007618, 57, 54, 1.055556
ptas_ff, True, 100, 0.007146, 47, 46, 1.021739
ptas_ff, True, 100, 0.007886, 55, 51, 1.078431
ptas_ff, True, 100, 0.007033, 56, 52, 1.076923
ptas_ff, True, 100, 0.007278, 52, 50, 1.04
ptas_ff, True, 100, 0.004591, 56, 53, 1.056604
ptas_ff, True, 100, 0.004536, 55, 53, 1.037736
