Algorithm, Descending?, n, Runtime (s), SOL, OPT, SOL/OPT
Doing PTAS, eps=0.5
ptas_awf, True, 100000, 6.307445, 62581, 50001, 1.251595
ptas_awf, True, 100000, 6.316057, 62584, 49961, 1.252657
ptas_awf, True, 100000, 6.330893, 62770, 50127, 1.252219
ptas_awf, True, 100000, 6.311368, 62603, 49961, 1.253037
Doing PTAS, eps=0.25
ptas_awf, True, 100000, 6.547752, 56735, 50203, 1.130112
ptas_awf, True, 100000, 6.521426, 56345, 49938, 1.128299
ptas_awf, True, 100000, 6.637821, 56213, 49940, 1.125611
ptas_awf, True, 100000, 6.580377, 56244, 49954, 1.125916
Doing PTAS, eps=0.1
ptas_awf, True, 100000, 6.709864, 52493, 49906, 1.051837
ptas_awf, True, 100000, 6.841501, 52594, 49925, 1.05346
